n,p,m,L,rep,time_vd,time_tl,mem_vd_mb,mem_tl_mb,ok_vd,ok_tl
1000,10000,1,10000,77,0.283493,0.250209,87.4219,215.547,1,1
1000,10000,1,10000,78,0.305977,0.26567,87.7812,231.078,1,1
1000,10000,1,10000,79,0.275542,0.19984,87,193.656,1,1
1000,10000,1,10000,80,0.33236,0.227921,88.75,211.25,1,1
1000,10000,1,10000,81,0.264659,0.237563,86.6562,215.719,1,1
1000,10000,1,10000,82,0.274096,0.211588,86.9375,202,1,1
1000,10000,1,10000,83,0.340844,0.265238,87.8125,230.172,1,1
1000,10000,1,10000,84,0.274667,0.239281,87.0156,216.625,1,1
1000,10000,1,10000,85,0.30129,0.256119,87.8906,227.703,1,1
1000,10000,1,10000,86,0.302354,0.27405,87.7188,230.641,1,1
1000,10000,1,10000,87,0.312224,0.255634,88,227.703,1,1
1000,10000,1,10000,88,0.321905,0.263091,88.3125,229.891,1,1
1000,10000,1,10000,89,0.369616,0.266709,89.6719,235.688,1,1
1000,10000,1,10000,90,0.370266,0.244459,89.7344,222.047,1,1
1000,10000,1,10000,91,0.285379,0.25258,87.3438,224.953,1,1
1000,10000,1,10000,92,0.344829,0.309049,88.8594,251.281,1,1
1000,10000,1,10000,93,0.364251,0.290642,89.375,246.969,1,1
1000,10000,1,10000,94,0.282667,0.212512,87.3438,204.156,1,1
1000,10000,1,10000,95,0.407997,0.335521,90.6406,270.516,1,1
1000,10000,1,10000,96,0.29496,0.272265,87.6406,229.547,1,1
1000,10000,1,10000,97,0.29345,0.26607,87.6406,227.578,1,1
1000,10000,1,10000,98,0.28324,0.26391,87.2656,230.938,1,1
1000,10000,1,10000,99,0.308509,0.238393,87.7969,215.078,1,1
1000,50000,1,50000,0,1.07878,1.56868,416.438,1276.88,1,1
1000,50000,1,50000,1,1.20358,1.44088,419.969,1222.62,1,1
1000,50000,1,50000,2,1.07735,1.11852,416.047,1056.73,1,1
1000,50000,1,50000,3,1.21742,1.63177,419.578,1394.53,1,1
1000,50000,1,50000,4,0.984564,1.36027,413.703,1171.41,1,1
1000,50000,1,50000,5,1.12539,1.21982,417.609,1123.27,1,1
1000,50000,1,50000,6,1.02982,1.02708,415.656,1016.23,1,1
1000,50000,1,50000,7,0.883111,0.877132,411.719,961.562,1,1
1000,50000,1,50000,8,1.31262,1.21941,422.344,1123.27,1,1
1000,50000,1,50000,9,1.07765,1.40276,416.047,1171.41,1,1
1000,50000,1,50000,10,1.12364,1.12861,417.625,1056.73,1,1
1000,50000,1,50000,11,1.08335,1.05337,416.047,1016.39,1,1
1000,50000,1,50000,12,1.31483,1.23202,421.953,1123.27,1,1
1000,50000,1,50000,13,1.2156,1.09477,419.578,1056.73,1,1
1000,50000,1,50000,14,0.977873,1.24034,413.703,1123.66,1,1
1000,50000,1,50000,15,1.22039,1.50202,420.344,1249.38,1,1
1000,50000,1,50000,16,1.31347,1.47896,422.344,1276.88,1,1
1000,50000,1,50000,17,1.2142,1.3092,419.188,1171.41,1,1
1000,50000,1,50000,18,1.17176,1.05178,418.422,1036.11,1,1
1000,50000,1,50000,19,1.1206,1.07985,417.219,1036.5,1,1
1000,50000,1,50000,20,1.17513,1.5877,418.812,1276.88,1,1
1000,50000,1,50000,21,1.07366,1.65118,416.047,1394.69,1,1
1000,50000,1,50000,22,1.25602,1.04684,420.359,1036.11,1,1
1000,50000,1,50000,23,1.17249,1.23594,418.797,1123.27,1,1
1000,50000,1,50000,24,1.1241,1.12001,417.219,1056.73,1,1
1000,50000,1,50000,25,1.36064,1.54039,423.141,1249.38,1,1
1000,50000,1,50000,26,1.12491,1.14993,417.625,1056.78,1,1
1000,50000,1,50000,27,1.35965,1.38696,423.531,1171.39,1,1
1000,50000,1,50000,28,1.27345,1.37153,421.172,1196.61,1,1
1000,50000,1,50000,29,1.22742,1.77142,419.969,1394.53,1,1
1000,50000,1,50000,30,1.27965,1.54366,420.797,1305.17,1,1
1000,50000,1,50000,31,1.18115,1.06085,418.422,997.484,1,1
1000,50000,1,50000,32,1.3959,1.47328,424.312,1276.86,1,1
1000,50000,1,50000,33,1.13461,1.35177,417.234,1196.61,1,1
1000,50000,1,50000,34,1.25369,1.28546,419.562,1171.41,1,1
1000,50000,1,50000,35,1.12798,1.26212,417.219,1100.33,1,1
1000,50000,1,50000,36,1.31803,1.23323,421.938,1123.27,1,1
1000,50000,1,50000,37,1.13083,1.21406,417.625,1057.12,1,1
1000,50000,1,50000,38,1.15852,1.40196,417.219,1222.59,1,1
1000,50000,1,50000,39,1.23245,1.21296,419.578,1100.33,1,1
1000,50000,1,50000,40,1.19304,1.52949,418.797,1249.36,1,1
1000,50000,1,50000,41,1.16777,1.21358,416.844,1078.17,1,1
1000,50000,1,50000,42,1.27802,1.46587,420.797,1197,1,1
1000,50000,1,50000,43,1.17941,1.13094,418.406,1056.73,1,1
1000,50000,1,50000,44,1.11966,1.0897,417.594,1036.11,1,1
1000,50000,1,50000,45,1.36805,1.38318,423.141,1222.61,1,1
1000,50000,1,50000,46,1.1307,1.20545,417.234,1123.23,1,1
1000,50000,1,50000,47,1.12915,1.47229,417.625,1276.88,1,1
1000,50000,1,50000,48,0.993299,1.20506,413.703,1078.17,1,1
1000,50000,1,50000,49,1.6502,1.54158,430.297,1305.19,1,1
1000,50000,1,50000,50,1.04024,1.07402,414.859,1056.88,1,1
1000,50000,1,50000,51,1.29917,1.46825,421.562,1249.38,1,1
1000,50000,1,50000,52,1.17581,1.49631,418.422,1249.38,1,1
1000,50000,1,50000,53,1.13634,1.28455,418.016,1146.95,1,1
1000,50000,1,50000,54,1.1748,1.07096,418.016,1056.73,1,1
1000,50000,1,50000,55,1.232,1.26902,419.562,1123.25,1,1
1000,50000,1,50000,56,1.1811,1.33458,418.422,1196.61,1,1
1000,50000,1,50000,57,1.13202,1.25344,417.625,1146.95,1,1
1000,50000,1,50000,58,1.65161,1.74287,430.672,1394.92,1,1
1000,50000,1,50000,59,1.31791,1.1822,421.953,1100.33,1,1
